"Нерухомість","Послуги, пов'язані з нерухомістю","010: Ріелторські послуги","","  Арендуем 1-, 2-, 3-комнатную квартиру, комнату, дом в любом районе города. Быстро. Ежедневно с 9.00. "," Тел.:  (63) 2336966, моб., (66) 2392612, моб., (67) 2314169, моб., (44) 2098728 Web: "
"Нерухомість","Послуги, пов'язані з нерухомістю","010: Ріелторські послуги","Дарницкий,"," Днепровский, Деснянский районы. Найму 1-, 2-комнатную квартиру у хозяина. Индивидуальный подбор клиентов. Быстрое заселение. Уважаемые хозяева, предлагайте свои квартиры и комнаты в аренду. А также, риелторская помощь в продаже квартир. "," Тел.:  (44) 5780475, (63) 5780475, моб., (98) 0351529, моб., (95) 4596365, моб.,Оксана риелтор."
"Нерухомість","Послуги, пов'язані з нерухомістю","010: Ріелторські послуги",""," помощь эксперта по недвижимости высшей категории. Любые операции с недвижимостью. На рынке с 2000 года. Помогу продать, купить, сдать, снять, обменять любую недвижимость. Приём заявок, оперативное рассмотрение, юридическое сопровождение, любые консультации, конфиденциальность. Возможен срочный выкуп недвижимости; задаток, подготовка документов, мгновенный расчёт. "," Тел.:  (97) 2860246, моб."
"Нерухомість","Послуги, пов'язані з нерухомістю","010: Ріелторські послуги","Сдам,"," сниму, куплю, продам квартиру, офис, магазин, склад по выгодной цене для владельца. Отрадный до пл. Толстого. Помогу решить Вашу проблему в поиске клиентов, окажу консультацию, уберу сомнения, найду решение, работаю отстаивая Ваши интересы. "," Тел.:  (63) 2374207"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Антоновича ул. 102,","    11/12кирп., спецпроект, 37/17/9 кв.м, лоджия, металлопластиковые окна, с/у совм., под ремонт, видовая, чистый подъезд, консьерж, 2 лифта, ст.м. ""Дворец ""Украина"", инфраструктура, транспортная развязка, свободна, ""чистая"" продажа, 55000у.е., торг. ","55000","1486","USD","11","12","37","17","9","","под ремонт"," Тел.:  (97) 9475872,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Бурмистенко ул., 11,"," 3/5-эт. дома, 30/17/7 кв.м, общее состояние - жилое, все окна во двор, балкон застеклен, пол - паркет, отлично развита инфраструктура: детские сады, школы в пешей доступности, магазины и заведения, отличная транспортная развязка. 37500у.е. ","37500","1250","USD","3","5","30","17","7","","жилое"," Тел.:  (68) 2392003,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Гатное,"," 40 кв.м, 2-контурный газовый котел, новый ЖК с охраняемой территорией: охрана, парковка, детская и спортивная площадки, супермаркет, амбулатория. Рядом: остановка, озеро, парк, детский сад и школа, 10мин от ст.м. ""Теремки"", 599000грн. ","599000","14975","UAH","","","40","","","","N/A"," Тел.:  (99) 4521525,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Гатное,"," 40 кв.м, 2-контурный газовый котел, новый ЖК с охраняемой территорией: охрана, парковка, детская и спортивная площадки, супермаркет, амбулатория. Рядом: остановка, озеро, парк, детский сад и школа, 10мин от ст.м. ""Теремки"", 599000грн. ","599000","14975","UAH","","","40","","","","N/A"," Тел.:  (99) 4521525,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","ЖК ""Голосеево"","," Голосеевская ул., 13а, ст.м. ""Демиевская"", 58/25/14, 9/25-эт., светлая, просторная, большой гардероб, пол с подогревом - с/у, коридор. Окна, балкон м/пл., бойлер, кондиционер, холодильник, стиральная машина, мебель, транспортная развязка, 93000у.е. ","93000","1603","USD","9","25","58","25","14","","N/A"," Тел.:  (98) 7939191,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Казацкая ул., 97,"," 53.3 кв.м, 1/14, на окнах решетки, 2 больших застекленных балкона, санузел раздельный. В доме консьерж, кодовый замок, спокойный, тихий р-н, Развитая инфраструктура. Ст.м. ""Голосеевская"" - 10мин, 45100у.е. Без комиссии. ","45100","846","USD","1","14","53.3","","","","N/A"," Тел.:  (68) 6881681,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Максимовича ул. 24а,"," ЖК ""Новая Англия"", 8/14-эт. дома, заселен, 39/13/23, кровать двуспальная, телевизор, встроенная бытовая техника, бойлер, кондиционер, холодильник, полы с подогревом, во дворе парковка, охрана, закрытая территория. Выгодно под сдачу. 69000 у.е. ","69000","1769","USD","8","14","39","13","23","","N/A"," Тел.:  (50) 3577374,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Практичная ул. 46"," (Березовая), ЖК ""Park Lаnd"", 3/4-эт. кирп. дома, 47.5/20/14  кв.м, балкон., гардеробная комната, есть возможность сделать перепланировку, индивидуальное электрическое отопление, квартира после строителей. 50000у.е. + налоги. ","50000","1053","USD","3","4","47.5","20","14","Y","после строителей"," Тел.:  (96) 5036966,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Теремки-1,"," Теремковская ул., 4А, ст.м. ""Теремки"", квартира в одном из самых креативных жилых комплексов Киева ""Республика"", с концепцией ""город в городе"" от KAN Development. Монолитно-каркасная технология с использованием качественных строительных материалов. ","","","UNKNOWN","","","","","","","N/A"," Тел.:  (98) 7029081,"
"Нерухомість","Квартири і кімнати. Продам.","101: Квартири 1-кімнатні","Київ. Голосіївський р-н.","Теремки-2,"," Луценко ул., 4/9-эт. дома, 35/17/7 кв.м, отличное состояние, стеклопакеты, кафель, балкон застеклен, окна во двор, продажа с мебелью, 37500у.е., торг. ","37500","1071","USD","4","9","35","17","7","","евроремонт"," Тел.:  (96) 2282327, (93) 7054133,"
